ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
1B,27,INT_STATUS_2,R/C,,,,,FIFO_OVERFLOW_INT[4:0],FIFO_OVERFLOW_INT[4:0],FIFO_OVERFLOW_INT[4:0],FIFO_OVERFLOW_INT[4:0]
1C,28,INT_STATUS_3,R/C,,,,,FIFO_WM_INT[4:0],FIFO_WM_INT[4:0],FIFO_WM_INT[4:0],FIFO_WM_INT[4:0]
28,40,DELAY_TIMEH,R,DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0],DELAY_TIMEH[7:0]
29,41,DELAY_TIMEL,R,DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0],DELAY_TIMEL[7:0]
2D,45,ACCEL_XOUT_H,R,ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0],ACCEL_XOUT_H[7:0]
2E,46,ACCEL_XOUT_L,R,ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0],ACCEL_XOUT_L[7:0]
2F,47,ACCEL_YOUT_H,R,ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0],ACCEL_YOUT_H[7:0]
30,48,ACCEL_YOUT_L,R,ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0],ACCEL_YOUT_L[7:0]
31,49,ACCEL_ZOUT_H,R,ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0],ACCEL_ZOUT_H[7:0]
32,50,ACCEL_ZOUT_L,R,ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0],ACCEL_ZOUT_L[7:0]
33,51,GYRO_XOUT_H,R,GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0],GYRO_XOUT_H[7:0]
34,52,GYRO_XOUT_L,R,GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0],GYRO_XOUT_L[7:0]
35,53,GYRO_YOUT_H,R,GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0],GYRO_YOUT_H[7:0]
36,54,GYRO_YOUT_L,R,GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0],GYRO_YOUT_L[7:0]
37,55,GYRO_ZOUT_H,R,GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0],GYRO_ZOUT_H[7:0]
38,56,GYRO_ZOUT_L,R,GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0],GYRO_ZOUT_L[7:0]
39,57,TEMP_OUT_H,R,TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0],TEMP_OUT_H[7:0]
3A,58,TEMP_OUT_L,R,TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0],TEMP_OUT_L[7:0]
3B,59,EXT_SLV_SENS_DATA_00,R,EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0],EXT_SLV_SENS_DATA_00[7:0]
3C,60,EXT_SLV_SENS_DATA_01,R,EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0],EXT_SLV_SENS_DATA_01[7:0]
3D,61,EXT_SLV_SENS_DATA_02,R,EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0],EXT_SLV_SENS_DATA_02[7:0]
3E,62,EXT_SLV_SENS_DATA_03,R,EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0],EXT_SLV_SENS_DATA_03[7:0]
3F,63,EXT_SLV_SENS_DATA_04,R,EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0],EXT_SLV_SENS_DATA_04[7:0]
40,64,EXT_SLV_SENS_DATA_05,R,EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0],EXT_SLV_SENS_DATA_05[7:0]
41,65,EXT_SLV_SENS_DATA_06,R,EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0],EXT_SLV_SENS_DATA_06[7:0]
42,66,EXT_SLV_SENS_DATA_07,R,EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0],EXT_SLV_SENS_DATA_07[7:0]
43,67,EXT_SLV_SENS_DATA_08,R,EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0],EXT_SLV_SENS_DATA_08[7:0]
44,68,EXT_SLV_SENS_DATA_09,R,EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0],EXT_SLV_SENS_DATA_09[7:0]
45,69,EXT_SLV_SENS_DATA_10,R,EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0],EXT_SLV_SENS_DATA_10[7:0]
46,70,EXT_SLV_SENS_DATA_11,R,EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0],EXT_SLV_SENS_DATA_11[7:0]
47,71,EXT_SLV_SENS_DATA_12,R,EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0],EXT_SLV_SENS_DATA_12[7:0]
48,72,EXT_SLV_SENS_DATA_13,R,EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0],EXT_SLV_SENS_DATA_13[7:0]
49,73,EXT_SLV_SENS_DATA_14,R,EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0],EXT_SLV_SENS_DATA_14[7:0]
4A,74,EXT_SLV_SENS_DATA_15,R,EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0],EXT_SLV_SENS_DATA_15[7:0]
4B,75,EXT_SLV_SENS_DATA_16,R,EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0],EXT_SLV_SENS_DATA_16[7:0]
4C,76,EXT_SLV_SENS_DATA_17,R,EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0],EXT_SLV_SENS_DATA_17[7:0]
4D,77,EXT_SLV_SENS_DATA_18,R,EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0],EXT_SLV_SENS_DATA_18[7:0]
4E,78,EXT_SLV_SENS_DATA_19,R,EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0],EXT_SLV_SENS_DATA_19[7:0]
4F,79,EXT_SLV_SENS_DATA_20,R,EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0],EXT_SLV_SENS_DATA_20[7:0]
50,80,EXT_SLV_SENS_DATA_21,R,EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0],EXT_SLV_SENS_DATA_21[7:0]
51,81,EXT_SLV_SENS_DATA_22,R,EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0],EXT_SLV_SENS_DATA_22[7:0]
52,82,EXT_SLV_SENS_DATA_23,R,EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0],EXT_SLV_SENS_DATA_23[7:0]
66,102,FIFO_EN_1,R/W,,,,,SLV_3_FIFO_EN,SLV_2_FIFO_EN,SLV_1_FIFO_EN,SLV_0_FIFO_EN
67,103,FIFO_EN_2,R/W,,,,ACCEL_FIFO_EN,GYRO_Z_FIFO_EN,GYRO_Y_FIFO_EN,GYRO_X_FIFO_EN,TEMP_FIFO_EN
68,104,FIFO_RST,R/W,,,,,FIFO_RESET[4:0],FIFO_RESET[4:0],FIFO_RESET[4:0],FIFO_RESET[4:0]
69,105,FIFO_MODE,R/W,,,,,FIFO_MODE[4:0],FIFO_MODE[4:0],FIFO_MODE[4:0],FIFO_MODE[4:0]
70,112,FIFO_COUNTH,R,,,,,FIFO_CNT[12:8],FIFO_CNT[12:8],FIFO_CNT[12:8],FIFO_CNT[12:8]
71,113,FIFO_COUNTL,R,FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0],FIFO_CNT[7:0]
72,114,FIFO_R_W,R/W,FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0],FIFO_R_W[7:0]
74,116,DATA_RDY_STATUS,R/C,WOF_STATUS,,,,RAW_DATA_RDY[3:0],RAW_DATA_RDY[3:0],RAW_DATA_RDY[3:0],RAW_DATA_RDY[3:0]
76,118,FIFO_CFG,R/W,,,,,,,,FIFO_CFG
7F,127,REG_BANK_SEL,R/W,,,USER_BANK[1:0],USER_BANK[1:0],,,,
