ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
0x6B,107,CH3_DATA_H,,CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0]
0x6C,108,CH4_DATA_L,,CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0]
0x6D,109,CH4_DATA_H,,CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0]
0x6E,110,CH5_DATA_L,,CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0]
0x6F,111,CH5_DATA_H,,CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0]
0x70,112,CONFIG,,,,,,LED_SEL,INT_SEL,INT_MODE[1:0],INT_MODE[1:0]
0x71,113,STAT,,,,,,,,WAIT_SYNC,READY
0x72,114,EDGE,,SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0],SYNC_EDGE[7:0]
0x73,115,GPIO,,,,,,,,PD_GPIO,PD_INT
0x74,116,LED,,LED_ACT,LED_DRIVE[6:0],LED_DRIVE[6:0],LED_DRIVE[6:0],LED_DRIVE[6:0],LED_DRIVE[6:0],LED_DRIVE[6:0],LED_DRIVE[6:0]
0x80,128,ENABLE,,FDEN,,,SMUXEN,WEN,,SP_EN,PON
0x81,129,ATIME,,ATIME[7:0],ATIME[7:0],ATIME[7:0],ATIME[7:0],ATIME[7:0],ATIME[7:0],ATIME[7:0],ATIME[7:0]
0x83,131,WTIME,,WTIME[7:0],WTIME[7:0],WTIME[7:0],WTIME[7:0],WTIME[7:0],WTIME[7:0],WTIME[7:0],WTIME[7:0]
0x84,132,SP_LOW_TH_L,,SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0],SP_TH_L_LSB[7:0]
0x85,133,SP_LOW_TH_H,,SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0],SP_TH_L_MSB[7:0]
0x86,134,SP_HIGH_TH_L,,SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0],SP_TH_H_LSB[7:0]
0x87,135,SP_HIGH_TH_H,,SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0],SP_TH_H_MSB[7:0]
0x90,144,AUXID,,AUXID[7:0],AUXID[7:0],AUXID[7:0],AUXID[7:0],AUXID[7:0],AUXID[7:0],AUXID[7:0],AUXID[7:0]
0x91,145,REVID,,REVID[7:0],REVID[7:0],REVID[7:0],REVID[7:0],REVID[7:0],REVID[7:0],REVID[7:0],REVID[7:0]
0x92,146,ID,,ID[7:0],ID[7:0],ID[7:0],ID[7:0],ID[7:0],ID[7:0],ID[7:0],ID[7:0]
0x93,147,STATUS,,ASAT,,,AINT,,FINT,CINT,SINT
0x94,148,ASTATUS,,ASAT_STATUS,,,,AGAIN_STATUS[3:0],AGAIN_STATUS[3:0],AGAIN_STATUS[3:0],AGAIN_STATUS[3:0]
0x95,149,CH0_DATA_L,,CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0]
0x96,150,CH0_DATA_H,,CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0]
0x97,151,CH1_DATA_L,,CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0]
0x98,152,CH1_DATA_H,,CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0]
0x99,153,CH2_DATA_L,,CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0]
0x9A,154,CH2_DATA_H,,CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0]
0x9B,155,CH3_DATA_L,,CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0]
0x9C,156,CH3_DATA_H,,CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0],CH3_DATA_H[7:0]
0x9D,157,CH4_DATA_L,,CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0],CH4_DATA_L[7:0]
0x9E,158,CH4_DATA_H,,CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0],CH4_DATA_H[7:0]
0x9F,159,CH5_DATA_L,,CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0],CH5_DATA_L[7:0]
0xA0,160,CH5_DATA_H,,CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0],CH5_DATA_H[7:0]
0xA3,163,STATUS2,,,AVALID,,ASAT_DIG,ASAT_ANA,,FDSAT_ANA,FDSAT_DIG
0xA4,164,STATUS3,,,,INT_SP_H,INT_SP_L,,,,
0xA6,166,STATUS5,,,,,,SINT_FD,,,
0xA7,167,STATUS6,,FIFO_OV,,OVTEMP,FD_TRIG,,SP_TRIG,SAI_ACT,INT_BUSY
0xA9,169,CFG0,,,,LOW_POWER,REG_BANK,,WLONG,,
0xAA,170,CFG1,,,,,,AGAIN[4:0],AGAIN[4:0],AGAIN[4:0],AGAIN[4:0]
0xAC,172,CFG3,,,,,SAI,,,,
0xAF,175,CFG6,,,,,SMUX_CMD[4:3],SMUX_CMD[4:3],,,
0xB1,177,CFG8,,FIFO_TH[7:6],FIFO_TH[7:6],,,FD_AGC,SP_AGC,,
0xB2,178,CFG9,,,SIEN_FD,,SIEN_SMUX,,,,
0xB3,179,CFG10,,AGC_H[7:6],AGC_L[7:6],,,,,FD_PERS[2:0],FD_PERS[2:0]
0xB5,181,CFG12,,,,,,,,SP_TH_CH[2:0],SP_TH_CH[2:0]
0xBD,189,PERS,,,,,,APERS[3:0],APERS[3:0],APERS[3:0],APERS[3:0]
0xBE,190,GPIO2,,,,,,GPIO_INV,GPIO_IN,GPIO_OUT,GPIO_IN
0xCA,202,ASTEP_L,,,,,ASTEP[7:0],,,,
0xCB,203,ASTEP_H,,,,,ASTEP[15:8],,,,
0xCF,207,AGC_GAIN_MAX,,AGC_FD_GAIN_MAX[7:4],AGC_FD_GAIN_MAX[7:4],AGC_FD_GAIN_MAX[7:4],AGC_FD_GAIN_MAX[7:4],AGC_AGAIN_MAX[3:0],AGC_AGAIN_MAX[3:0],AGC_AGAIN_MAX[3:0],AGC_AGAIN_MAX[3:0]
0xD6,214,AZ_CONFIG,,,,,AT_NTH_ITERATION[7:0],,,,
0xD8,216,FD_TIME1,,,,,FD_TIME[7:0],,,,
0xDA,218,FD_TIME2,,FD_GAIN[7:3],,,,,FD_TIME[10:8],,
0xD7,215,FD_CFG0,,FD_FIFO,FD_SAMPLES[6:5],FD_SAMPLES[6:5],,,,,
0xDB,219,FD_STATUS,,,,FD_VALID,FD_SAT,FD_120HZ_VALID,FD_100Hz_VALID,FD_120Hz,FD_100Hz
0xF9,249,INTENAB,,ASIEN,,,SP_IEN,,FIEN,CIEN,SIEN
0xFA,250,CONTROL,,,,,,,AZ_SP_MAN,FIFO_CLR,CLEAR_SAI_ACT
0xFC,252,FIFO_MAP,,,FIFO_WRITE_CH5_DATA,FIFO_WRITE_CH4_DATA,FIFO_WRITE_CH3_DATA,FIFO_WRITE_CH2_DATA,FIFO_WRITE_CH1_DATA,FIFO_WRITE_CH0_DATA,FIFO_WRITE_ASTATUS
0xFD,253,FIFO_LVL,,FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0],FIFO_LVL[7:0]
0xFE,254,FDATA_L,,FDATA[7:0],FDATA[7:0],FDATA[7:0],FDATA[7:0],FDATA[7:0],FDATA[7:0],FDATA[7:0],FDATA[7:0]
0xFF,255,FDATA_H,,FDATA[15:8],FDATA[15:8],FDATA[15:8],FDATA[15:8],FDATA[15:8],FDATA[15:8],FDATA[15:8],FDATA[15:8]
